encounter_time,male,female
-5.119435552815635,"sex: -1, alleles: 0.51","sex: 1, alleles: -0.48"
-4.33840684859879,"sex: -1, alleles: -0.86","sex: 1, alleles: -0.66"
-3.6827271098608487,"sex: -1, alleles: -0.18","sex: 1, alleles: -0.02"
-3.436659852357403,"sex: -1, alleles: 0.51","sex: 1, alleles: -0.02"
-3.0965181255341316,"sex: -1, alleles: 1.37","sex: 1, alleles: 0.55"
-3.0665371516961435,"sex: -1, alleles: -0.82","sex: 1, alleles: -0.48"
-2.9243920459349013,"sex: -1, alleles: -0.04","sex: 1, alleles: -1.17"
-2.923111965210095,"sex: -1, alleles: 0.32","sex: 1, alleles: -0.2"
-2.892045831209573,"sex: -1, alleles: -1.05","sex: 1, alleles: -0.02"
-2.8912290129672344,"sex: -1, alleles: -0.82","sex: 1, alleles: -0.71"
-2.769911497115953,"sex: -1, alleles: 0.82","sex: 1, alleles: 0.48"
-2.7166025342418507,"sex: -1, alleles: -0.48","sex: 1, alleles: 1.28"
-2.7140186384745526,"sex: -1, alleles: -1.07","sex: 1, alleles: -1.47"
-2.6776694891310946,"sex: -1, alleles: -0.68","sex: 1, alleles: 0.45"
-2.6752843257202614,"sex: -1, alleles: -0.22","sex: 1, alleles: 0.48"
-2.674022611374132,"sex: -1, alleles: -0.86","sex: 1, alleles: -1.29"
-2.6083270255137734,"sex: -1, alleles: -1.73","sex: 1, alleles: -1.29"
-2.597294661675023,"sex: -1, alleles: -0.68","sex: 1, alleles: -0.05"
-2.576904113456868,"sex: -1, alleles: 0.65","sex: 1, alleles: -0.7"
-2.571987114458097,"sex: -1, alleles: -0.09","sex: 1, alleles: -1.03"
-2.5552950110518995,"sex: -1, alleles: -0.97","sex: 1, alleles: -0.84"
-2.5430647756560036,"sex: -1, alleles: 0.06","sex: 1, alleles: -0.78"
-2.5336569621386427,"sex: -1, alleles: 0.32","sex: 1, alleles: -0.85"
-2.4999509396783433,"sex: -1, alleles: 0.59","sex: 1, alleles: -0.07"
-2.465531533009961,"sex: -1, alleles: -1.73","sex: 1, alleles: -0.82"
-2.460397641605251,"sex: -1, alleles: -0.41","sex: 1, alleles: 0.55"
-2.4467809556473386,"sex: -1, alleles: -0.79","sex: 1, alleles: -1.0"
-2.424510074288405,"sex: -1, alleles: -0.48","sex: 1, alleles: -1.03"
-2.4096901800615136,"sex: -1, alleles: -1.15","sex: 1, alleles: 0.22"
-2.408638171216275,"sex: -1, alleles: -1.33","sex: 1, alleles: -1.62"
-2.397541372930521,"sex: -1, alleles: -0.89","sex: 1, alleles: 0.55"
-2.3972845395773907,"sex: -1, alleles: -0.16","sex: 1, alleles: -0.07"
-2.3648876677780533,"sex: -1, alleles: 0.75","sex: 1, alleles: -0.78"
-2.338703517691107,"sex: -1, alleles: -0.12","sex: 1, alleles: -0.09"
-2.3374021082157728,"sex: -1, alleles: 1.0","sex: 1, alleles: -0.78"
-2.3362661604051467,"sex: -1, alleles: -0.19","sex: 1, alleles: -0.86"
-2.3356566249330304,"sex: -1, alleles: -1.56","sex: 1, alleles: -0.08"
-2.3268729137052655,"sex: -1, alleles: 0.5","sex: 1, alleles: -0.84"
-2.3132245413711603,"sex: -1, alleles: -0.91","sex: 1, alleles: -0.5"
-2.3023877094207283,"sex: -1, alleles: 0.55","sex: 1, alleles: 0.22"
-2.2835347818656366,"sex: -1, alleles: 0.24","sex: 1, alleles: -0.88"
-2.2828223077375003,"sex: -1, alleles: -0.27","sex: 1, alleles: -0.88"
-2.275282345667157,"sex: -1, alleles: 0.37","sex: 1, alleles: -0.18"
-2.27209636276596,"sex: -1, alleles: -0.86","sex: 1, alleles: 0.77"
-2.2690402831898173,"sex: -1, alleles: -1.64","sex: 1, alleles: -1.66"
-2.249173761424296,"sex: -1, alleles: -0.6","sex: 1, alleles: 0.45"
-2.228435027622722,"sex: -1, alleles: -1.64","sex: 1, alleles: -0.78"
-2.2280127973897277,"sex: -1, alleles: -1.01","sex: 1, alleles: -0.68"
-2.209133931361414,"sex: -1, alleles: 0.26","sex: 1, alleles: -0.73"
-2.207371754848964,"sex: -1, alleles: -0.54","sex: 1, alleles: 0.58"
-2.180979397870528,"sex: -1, alleles: 0.37","sex: 1, alleles: -0.88"
-2.1679578754142863,"sex: -1, alleles: -0.91","sex: 1, alleles: -1.15"
-2.165761594246801,"sex: -1, alleles: -0.55","sex: 1, alleles: -1.28"
-2.16514426797388,"sex: -1, alleles: -0.7","sex: 1, alleles: -0.02"
-2.14739063246678,"sex: -1, alleles: -0.34","sex: 1, alleles: -1.0"
-2.1342011565305357,"sex: -1, alleles: -0.34","sex: 1, alleles: -1.0"
-2.124917869109595,"sex: -1, alleles: 0.82","sex: 1, alleles: 0.35"
-2.081160925431827,"sex: -1, alleles: -1.56","sex: 1, alleles: -0.76"
-2.072919759615828,"sex: -1, alleles: -0.16","sex: 1, alleles: -0.88"
-2.0727977461130154,"sex: -1, alleles: 0.26","sex: 1, alleles: -1.28"
-2.0717096539457955,"sex: -1, alleles: -0.34","sex: 1, alleles: 0.26"
-2.041064420773406,"sex: -1, alleles: 0.55","sex: 1, alleles: 0.48"
-2.0237863928657793,"sex: -1, alleles: 0.43","sex: 1, alleles: -1.38"
-2.0186465934463214,"sex: -1, alleles: -1.64","sex: 1, alleles: 0.53"
-2.013871666669683,"sex: -1, alleles: -0.91","sex: 1, alleles: 0.02"
-2.0109506293857797,"sex: -1, alleles: -0.38","sex: 1, alleles: -0.07"
-1.9967732018056212,"sex: -1, alleles: -0.47","sex: 1, alleles: -1.33"
-1.9938965681280634,"sex: -1, alleles: -0.96","sex: 1, alleles: -1.0"
-1.9865027357051481,"sex: -1, alleles: -0.7","sex: 1, alleles: -2.03"
-1.9849168306131155,"sex: -1, alleles: -0.66","sex: 1, alleles: -0.44"
-1.966257964614046,"sex: -1, alleles: -0.97","sex: 1, alleles: -1.35"
-1.964763526628474,"sex: -1, alleles: -0.97","sex: 1, alleles: -0.71"
-1.9623394002701968,"sex: -1, alleles: -0.07","sex: 1, alleles: -1.28"
-1.9436992883194908,"sex: -1, alleles: -0.61","sex: 1, alleles: -1.66"
-1.922649085894371,"sex: -1, alleles: 0.75","sex: 1, alleles: -1.35"
-1.9192204227122653,"sex: -1, alleles: -0.98","sex: 1, alleles: -0.73"
-1.9124959707427398,"sex: -1, alleles: 0.43","sex: 1, alleles: -1.2"
-1.904820165854788,"sex: -1, alleles: -0.7","sex: 1, alleles: -0.7"
-1.8995279111688497,"sex: -1, alleles: -1.01","sex: 1, alleles: -0.78"
-1.898495084703999,"sex: -1, alleles: -0.41","sex: 1, alleles: -0.29"
-1.8953937675263095,"sex: -1, alleles: -0.7","sex: 1, alleles: -0.82"
-1.8865905577141566,"sex: -1, alleles: 1.37","sex: 1, alleles: 0.45"
-1.8861575409531444,"sex: -1, alleles: 0.06","sex: 1, alleles: -1.59"
-1.871553238895963,"sex: -1, alleles: -0.08","sex: 1, alleles: -0.87"
-1.870561335875054,"sex: -1, alleles: -0.12","sex: 1, alleles: -0.61"
-1.8506976964777182,"sex: -1, alleles: -1.25","sex: 1, alleles: 0.63"
-1.8407957676594304,"sex: -1, alleles: -0.34","sex: 1, alleles: -1.0"
-1.8321266254054773,"sex: -1, alleles: 0.74","sex: 1, alleles: -1.03"
-1.8163556556547282,"sex: -1, alleles: 0.75","sex: 1, alleles: -1.11"
-1.8140185857001607,"sex: -1, alleles: -0.54","sex: 1, alleles: -0.05"
-1.808038082606033,"sex: -1, alleles: 0.28","sex: 1, alleles: -0.86"
-1.8038780642156302,"sex: -1, alleles: -0.18","sex: 1, alleles: -0.61"
-1.8025658786383518,"sex: -1, alleles: -0.91","sex: 1, alleles: 0.68"
-1.7944035532960094,"sex: -1, alleles: -0.91","sex: 1, alleles: -0.02"
-1.7908293012989835,"sex: -1, alleles: -0.09","sex: 1, alleles: -0.29"
-1.7797348132923356,"sex: -1, alleles: 0.08","sex: 1, alleles: -0.5"
-1.7784003410547828,"sex: -1, alleles: -0.91","sex: 1, alleles: -0.61"
-1.7704029306177809,"sex: -1, alleles: -0.07","sex: 1, alleles: -0.75"
-1.7688379995988501,"sex: -1, alleles: -0.07","sex: 1, alleles: -0.17"
-1.762882755962221,"sex: -1, alleles: -0.09","sex: 1, alleles: -0.38"
-1.754020089501565,"sex: -1, alleles: -1.35","sex: 1, alleles: 0.22"
-1.7539302961143661,"sex: -1, alleles: 0.95","sex: 1, alleles: -0.16"
-1.7483583586672689,"sex: -1, alleles: 0.26","sex: 1, alleles: 0.63"
-1.744696633484575,"sex: -1, alleles: -0.16","sex: 1, alleles: -1.03"
-1.7405136301214215,"sex: -1, alleles: 0.13","sex: 1, alleles: -1.33"
-1.7377560904107214,"sex: -1, alleles: -1.17","sex: 1, alleles: 0.7"
-1.7314662294467773,"sex: -1, alleles: -0.34","sex: 1, alleles: -0.41"
-1.7314600453599904,"sex: -1, alleles: -0.61","sex: 1, alleles: 0.07"
-1.7251077692393375,"sex: -1, alleles: 0.24","sex: 1, alleles: 0.25"
-1.719762490832864,"sex: -1, alleles: -1.25","sex: 1, alleles: -1.4"
-1.7088375940915648,"sex: -1, alleles: 0.71","sex: 1, alleles: -0.18"
-1.7066927226320168,"sex: -1, alleles: 0.71","sex: 1, alleles: -1.03"
-1.7063851434501172,"sex: -1, alleles: -0.12","sex: 1, alleles: -0.88"
-1.7036926491734985,"sex: -1, alleles: -0.61","sex: 1, alleles: -0.07"
-1.700269571459621,"sex: -1, alleles: 0.65","sex: 1, alleles: -1.11"
-1.6867989922670896,"sex: -1, alleles: -0.48","sex: 1, alleles: -0.71"
-1.6847092178839074,"sex: -1, alleles: -0.61","sex: 1, alleles: -1.38"
-1.682764941626039,"sex: -1, alleles: -0.07","sex: 1, alleles: -0.86"
-1.6823286145261445,"sex: -1, alleles: -0.34","sex: 1, alleles: -0.76"
-1.677213893712378,"sex: -1, alleles: -1.44","sex: 1, alleles: 0.44"
-1.6754896256044578,"sex: -1, alleles: -0.22","sex: 1, alleles: -1.11"
-1.6649668052186273,"sex: -1, alleles: 0.24","sex: 1, alleles: -0.7"
-1.6613145482321316,"sex: -1, alleles: -0.1","sex: 1, alleles: -0.69"
-1.651805642308418,"sex: -1, alleles: 0.14","sex: 1, alleles: -1.15"
